customer_id,tension,tariff,power,department,section,segment,zone
2,BT 230 V,TCB,3700,3,5,4,19
3,BT 230 V,TRS,2200,3,4,14,7
5,BT 230 V,TRS,2200,13,3,303,19
6,BT 230 V,TCB,3700,19,1,124,800
9,BT 230 V,TCB,3700,15,8,302,600
10,BT 230 V,TRS,3300,10,3,821,600
13,BT 230 V,TRS,7400,18,11,2,2
14,BT 230 V,TRS,3300,6,1,28,606
16,BT 230 V,TCBT,2300,10,3,30,720
17,BT 230 V,TRS,2300,3,4,9,20
19,BT 230 V,TRS,7400,17,1,2,6
20,BT 230 V,TRD,7400,14,3,206,26
21,BT 230 V,TRS,13500,1,4,103,6
22,BT 230 V,TRS,2200,1,10,124,5
24,BT 230 V,TRS,2200,1,13,139,3
25,BT 230 V,TRS,2200,1,17,139,2
26,BT 230 V,TRS,3700,2,1,4,2
28,BT 230 V,TRS,3700,11,2,515,606
29,BT 230 V,TRS,4400,16,6,303,38
30,BT 230 V,TRS,3700,4,3,11,4
31,BT 230 V,TCB,2300,14,1,316,810
32,BT 230 V,TGS,7600,18,10,7,2
33,BT 230 V,TRS,3300,17,8,1,15
35,BT 230 V,TRS,2200,1,22,220,4
37,BT 230 V,TCBT,2200,16,6,315,4
38,BT 230 V,TRS,2200,1,12,11,9
40,BT 230 V,TRS,4600,3,17,77,1
41,BT 230 V,TRS,5500,1,1,204,5
42,BT 230 V,TRS,3300,1,10,231,5
47,BT 230 V,TGS,10000,5,3,5,21
48,BT 230 V,TRS,4600,11,5,104,803
49,BT 230 V,TRS,2200,5,12,109,14
50,BT 230 V,TRS,10000,18,1,10,1
51,BT 230 V,TCB,3700,1,12,119,2
52,BT 230 V,TGS,2300,1,23,206,3
53,BT 230 V,TGS,10000,11,5,301,2
54,BT 230 V,TRS,6600,1,18,107,3
55,BT 230 V,TRS,3700,10,3,30,713
56,BT 230 V,TRS,3700,2,7,105,18
57,BT 230 V,TCB,3700,12,5,203,29
58,BT 230 V,TRS,4600,5,1,14,8
59,BT 230 V,TRS,4600,19,1,104,5
62,BT 230 V,TRS,2300,1,18,226,600
63,BT 230 V,TCB,2200,3,4,36,801
65,BT 230 V,TCB,3700,15,8,201,39
66,BT 230 V,TRS,2200,4,3,207,27
70,BT 230 V,TRS,5500,11,1,33,2
77,BT 230 V,TRS,5500,1,12,104,1
78,BT 230 V,TRS,2200,3,4,20,6
79,BT 230 V,TRS,3000,5,6,211,52
81,BT 230 V,TRS,3700,7,1,27,2
83,BT 230 V,TRS,4400,1,9,42,3
84,BT 230 V,TRS,2200,1,17,42,2
85,BT 230 V,TRS,4400,17,13,203,32
86,BT 230 V,TRS,3700,9,12,301,34
87,BT 230 V,TRS,2200,3,37,292,600
88,MT 31.5 KV,UTE-FRON,2200,3,3,211,600
89,MT 31.5 KV,UTE-FRON,2200,3,4,53,4
90,BT 230 V,TRS,5500,3,16,107,601
91,BT 230 V,TRS,2300,16,6,311,50
92,BT 230 V,TCBT,2200,5,6,209,39
93,BT 230 V,TRS,3700,1,22,21,5
94,BT 230 V,TRS,2300,3,27,80,2
95,BT 230 V,TRS,2500,1,24,108,9
96,BT 230 V,TRS,2200,1,10,236,12
97,BT 230 V,TRS,5500,1,10,61,8
99,BT 230 V,TRS,2200,1,17,1,8
100,BT 230 V,TRS,2300,17,13,203,25
101,BT 230 V,TRD,9200,5,1,112,8
102,BT 230 V,TRS,2200,2,1,328,601
105,BT 230 V,TRS,4600,1,15,211,6
106,BT 230 V,TRS,12000,3,4,32,18
107,BT 230 V,TRS,2200,8,11,205,802
108,BT 230 V,TCBD,3700,1,11,90,807
109,BT 230 V,TRS,7400,10,3,18,800
110,BT 230 V,TGS,35000,1,4,103,2
112,BT 230 V,TRS,4600,2,7,205,31
113,BT 230 V,TRS,2200,18,1,5,11
114,BT 230 V,TRS,2200,1,12,120,6
115,BT 230 V,TRS,2300,1,99,50,6
116,BT 230 V,TRS,4400,3,4,338,39
120,BT 230 V,TGS,4200,1,8,3,5
121,BT 230 V,TRS,2200,14,3,205,46
122,BT 230 V,TRS,4400,10,1,44,14
123,BT 230 V,TRS,2300,3,27,212,58
124,BT 230 V,TGS,5700,16,1,19,602
125,BT 230 V,TRS,4400,1,14,208,5
127,BT 230 V,TRS,2200,1,11,109,7
129,BT 230 V,TGS,6000,6,1,134,806
130,BT 230 V,TCBD,2200,3,17,370,39
131,BT 230 V,TRS,2200,18,1,215,36
132,BT 230 V,TRS,3700,18,10,4,800
134,BT 230 V,TRS,4600,4,1,230,27
135,BT 230 V,TRS,4600,16,6,306,805
136,BT 230 V,TCBT,2300,13,5,101,40
137,BT 230 V,TRS,2300,3,4,231,806
139,BT 230 V,TRS,4400,3,37,384,110
140,BT 230 V,TRS,5700,1,9,61,2
141,BT 230 V,TRS,6600,5,13,202,604
142,BT 230 V,TRS,4400,1,24,222,10
143,BT 230 V,TRS,2200,18,14,203,604
146,BT 230 V,TGS,4600,3,4,2,14
149,BT 230 V,TCB,3700,3,5,4,19
150,BT 230 V,AMC,5700,10,1,46,20
151,BT 230 V,TRS,2200,2,1,5,1
152,BT 230 V,TRS,3300,10,1,227,22
153,BT 230 V,TRS,2200,10,1,74,601
154,BT 230 V,TRS,2200,3,10,13,408
155,BT 230 V,TRS,9500,1,10,58,11
156,BT 230 V,TRS,6600,10,1,34,15
158,BT 230 V,TRS,2200,5,1,14,26
159,BT 230 V,TCB,3700,1,17,31,26
160,BT 230 V,TRS,2200,13,8,207,802
161,BT 230 V,TRS,2200,3,8,54,603
163,BT 230 V,TRS,2200,1,22,202,14
164,BT 230 V,TGS,3700,10,1,73,707
165,BT 230 V,TRS,2200,3,37,235,27
168,BT 230 V,TRS,2200,3,37,486,49
169,BT 230 V,TRS,2300,10,1,120,40
171,BT 230 V,TRD,3700,5,8,206,64
173,BT 230 V,TRS,2200,17,1,32,703
174,BT 230 V,TRD,9200,1,10,64,19
176,BT 230 V,TCB,2300,6,1,4,9
177,BT 230 V,TGS,3800,3,5,2,4
178,BT 230 V,TRS,4600,1,17,32,6
179,BT 230 V,TCB,3700,3,2,13,10
180,BT 230 V,TGS,9200,12,2,304,5
181,BT 230 V,TCB,2300,14,1,220,810
184,BT 230 V,TRS,2200,1,10,111,3
187,BT 230 V,TRS,9200,16,6,313,602
188,BT 400 V,TRS,12000,11,9,103,10
189,BT 230 V,TRS,2200,18,1,215,711
191,BT 230 V,TGS,25000,3,10,14,4
192,BT 230 V,TRS,4600,16,6,211,41
193,BT 230 V,TCB,3700,16,6,210,20
194,BT 230 V,TRS,2200,5,14,14,601
195,BT 230 V,TRS,2300,1,16,125,600
196,BT 230 V,TRS,2200,2,1,121,8
197,BT 230 V,TCB,2200,1,9,60,5
198,BT 230 V,TRS,2200,5,1,14,26
201,BT 230 V,TRS,3300,5,1,14,45
202,BT 230 V,TRS,7400,1,12,219,10
203,BT 230 V,TRS,2300,1,12,11,2
204,BT 230 V,TRS,2200,19,8,5,9
206,BT 230 V,TRS,2200,9,2,1,19
207,BT 230 V,TRS,2200,3,37,593,91
209,BT 230 V,TRS,3700,5,1,107,4
211,BT 230 V,TRS,3700,1,20,14,3
212,BT 230 V,TGS,3700,16,6,210,802
213,BT 230 V,TRS,2200,6,1,28,819
215,BT 230 V,TRS,7000,3,5,3,16
216,BT 230 V,TRS,4600,16,6,210,38
218,BT 230 V,TRS,2300,16,6,317,59
219,BT 230 V,TGS,4600,1,9,257,800
222,BT 230 V,TRS,2300,1,11,2,803
223,BT 230 V,TRS,4600,3,37,593,285
224,BT 230 V,TRS,5500,3,4,21,12
225,BT 230 V,TRS,2300,3,17,445,136
230,BT 230 V,TRS,3700,1,18,105,8
231,BT 230 V,TRS,3700,12,5,203,40
233,BT 230 V,TRS,2300,1,17,203,12
234,BT 230 V,TRS,2200,14,8,3,3
235,BT 230 V,TRS,2200,10,1,44,803
236,BT 230 V,TRS,2200,18,1,226,600
237,BT 230 V,TCB,3700,15,8,302,9
238,BT 230 V,TGS,15000,3,27,80,1
240,BT 230 V,TGS,15000,8,10,2,23
241,BT 230 V,TRS,3000,1,99,21,14
242,BT 230 V,TRS,2900,1,21,39,5
243,BT 230 V,TRS,2200,1,22,205,3
244,BT 230 V,TRS,3700,5,1,14,703
245,BT 230 V,TGS,3300,10,2,2,9
249,BT 230 V,TCB,3700,8,2,11,700
250,BT 230 V,TCB,3700,10,2,206,7
253,BT 230 V,TRS,2200,3,6,20,6
254,BT 230 V,TCB,3700,1,11,81,800
257,BT 230 V,TRS,2200,2,1,7,13
258,BT 230 V,TCB,3700,1,21,229,18
260,BT 230 V,TGS,4400,3,37,374,603
262,BT 230 V,TRS,2200,1,11,83,800
263,BT 230 V,TRS,4600,19,1,22,1
264,BT 230 V,TRS,7400,3,5,3,8
265,BT 230 V,TRS,3700,15,8,201,40
267,BT 230 V,TRS,9800,14,1,120,820
268,BT 230 V,TRS,4400,14,5,203,600
269,BT 230 V,TRS,11500,10,3,26,2
271,BT 230 V,TRS,2300,1,21,208,7
273,BT 230 V,TGS,7400,3,4,16,1
274,BT 230 V,TRS,2200,15,2,232,700
276,BT 230 V,TCB,3700,1,24,211,6
278,BT 230 V,TRS,3300,1,10,230,6
280,BT 230 V,TRS,2200,10,1,44,10
281,BT 230 V,TRS,2200,8,9,201,40
282,BT 230 V,TRS,2200,1,12,106,2
285,BT 230 V,TRS,2300,1,12,10,6
287,BT 230 V,TGS,2200,3,5,3,15
289,BT 230 V,TRS,3700,1,24,217,11
290,BT 230 V,TRS,6600,16,6,210,802
291,BT 230 V,TRS,3700,3,11,4,20
293,BT 230 V,TGS,2200,10,3,20,2
294,BT 230 V,TRS,3700,1,12,136,1
296,BT 230 V,TRS,2300,5,3,2,6
297,BT 230 V,TRS,2200,1,10,57,9
298,BT 230 V,TRS,2300,10,1,38,7
299,BT 230 V,TGS,13000,3,1,23,800
300,BT 230 V,TGS,20000,15,8,6,613
301,BT 230 V,TRS,5000,1,10,63,13
302,BT 230 V,TRS,3700,3,14,6,601
303,BT 230 V,TRS,2300,1,20,125,2
304,BT 230 V,TCBD,2200,17,1,32,701
305,BT 230 V,TRS,2300,11,2,203,25
308,BT 230 V,TRS,4400,3,27,212,9
309,BT 230 V,TGS,2200,19,1,2,10
310,BT 230 V,TRS,2300,17,1,29,606
311,BT 230 V,TRS,2300,3,16,18,8
313,BT 230 V,TRD,3300,11,12,7,7
314,BT 230 V,TRS,2200,10,2,206,7
315,BT 230 V,TCB,3700,3,9,205,21
317,BT 230 V,TRD,7400,3,37,175,601
318,BT 230 V,TCB,3700,17,1,21,7
319,BT 230 V,TRS,2200,1,18,301,15
320,BT 230 V,TRS,11500,2,6,2,6
321,BT 230 V,TRS,3700,3,17,175,600
322,BT 230 V,TRS,2300,5,1,14,21
323,BT 230 V,TRS,10000,17,4,2,5
325,BT 230 V,TRS,2300,5,6,211,40
326,BT 230 V,TRS,3700,14,1,220,814
330,BT 230 V,TRS,4600,14,10,11,2
331,BT 230 V,TRS,2200,14,5,202,33
332,BT 230 V,TRS,2200,1,10,58,16
333,BT 230 V,TGS,3900,7,1,8,10
334,BT 230 V,TRS,4600,5,1,14,16
338,BT 230 V,TRD,4400,14,1,201,4
339,BT 230 V,TRS,7600,1,10,61,13
341,BT 230 V,TRS,2200,3,4,24,802
342,BT 230 V,TRS,6600,1,18,102,2
343,BT 230 V,TRS,4400,1,10,60,8
345,BT 230 V,TCB,3700,10,3,30,620
346,BT 230 V,TGS,5700,10,3,12,7
348,BT 230 V,TRS,4400,19,6,6,3
349,BT 230 V,TRS,7400,1,22,6,7
350,BT 230 V,TGS,12000,16,1,4,404
351,BT 230 V,TRS,2200,18,1,2,2
352,BT 230 V,TCB,3700,15,1,11,12
354,BT 230 V,TGS,3300,1,10,116,2
355,BT 230 V,TRS,7400,16,6,111,6
357,BT 230 V,TRS,7400,5,1,14,4
358,BT 230 V,TCB,2200,5,3,14,601
359,BT 230 V,TRS,2300,1,22,21,800
360,BT 230 V,TRS,2200,10,3,30,24
361,BT 230 V,TRS,2300,3,5,10,7
363,BT 230 V,TRS,2300,1,14,3,6
364,BT 230 V,TRS,7400,19,9,105,1
366,BT 230 V,TRS,3800,19,4,1,1
367,BT 230 V,TRS,3300,18,1,1,3
368,BT 230 V,TRS,3700,12,2,303,50
371,BT 230 V,TRS,4600,2,6,105,803
372,BT 230 V,TRS,2300,12,1,20,21
373,BT 230 V,TGS,7400,1,22,21,1
375,BT 230 V,TRS,3700,3,6,223,4
377,BT 230 V,TRS,6600,1,10,316,600
378,BT 230 V,TRS,2200,3,4,135,602
379,BT 230 V,TCBT,2200,12,2,2,1
380,BT 230 V,TRS,2200,3,4,9,20
382,BT 230 V,TRS,4600,3,16,114,7
384,BT 230 V,TRS,10000,18,10,117,823
385,BT 230 V,TRS,3700,3,14,104,20
386,BT 230 V,TCB,3700,3,14,3,20
388,BT 230 V,TRS,2200,1,99,204,21
391,BT 230 V,TRS,2200,3,9,205,19
392,BT 230 V,TRS,2400,17,1,7,5
393,BT 230 V,TRS,4600,3,37,135,803
394,BT 230 V,TRS,3700,17,3,11,20
395,BT 230 V,TRS,7400,5,1,113,602
396,BT 230 V,TRS,2200,16,1,29,3
397,BT 230 V,TRS,4600,1,10,132,6
398,BT 230 V,TRS,4600,3,16,209,607
399,BT 230 V,TCB,2200,1,13,21,7
400,BT 230 V,TRS,3700,1,10,110,6
401,BT 230 V,TRS,5500,4,1,38,801
402,BT 230 V,TGS,5700,5,1,208,25
403,BT 230 V,TRS,2300,3,16,114,7
405,BT 230 V,TRS,6600,3,4,257,311
406,BT 230 V,TCB,3700,3,4,58,307
407,BT 230 V,TGS,7400,1,10,227,6
408,BT 230 V,TCB,3700,13,3,203,58
409,BT 230 V,TGS,7400,1,99,6,600
411,BT 230 V,TRS,2300,5,3,208,602
413,BT 230 V,TCBD,2200,3,4,39,18
419,BT 230 V,TRS,3700,5,1,14,628
420,BT 230 V,TRS,2200,16,6,210,38
422,BT 400 V,TRD,20000,10,1,3,20
423,BT 230 V,TGS,8000,1,18,106,1
424,BT 230 V,TRS,2300,17,3,11,15
426,BT 230 V,TRD,3700,6,12,202,27
427,BT 230 V,TRS,4600,3,37,486,104
428,BT 230 V,TRS,2200,10,1,76,25
429,BT 230 V,TRS,2200,12,1,28,619
430,BT 230 V,TRS,7400,16,6,311,73
433,BT 230 V,TRS,4600,3,37,193,52
434,BT 230 V,APD,12000,3,10,1,10
435,BT 230 V,TRS,2300,3,4,20,9
436,BT 230 V,TRS,5500,16,6,311,73
438,BT 230 V,TRS,15000,19,3,107,602
441,BT 230 V,TGS,4400,1,14,24,9
442,BT 230 V,TRS,3700,1,10,5,8
446,BT 230 V,TRS,2300,3,9,110,102
447,BT 230 V,TRS,2200,11,12,220,9
448,BT 230 V,TRS,3300,10,2,109,48
449,BT 230 V,TGS,5700,10,3,113,18
450,BT 230 V,TRS,3700,3,5,9,6
453,BT 230 V,TRS,3700,5,11,201,46
454,BT 230 V,TRS,2200,16,6,321,59
457,BT 230 V,TRS,2200,17,1,29,607
458,BT 230 V,TRS,4600,1,20,40,11
459,BT 230 V,TRS,14500,10,8,13,3
460,BT 230 V,TRD,4600,3,37,486,49
461,BT 230 V,TRS,2300,13,1,119,23
462,BT 230 V,TRS,3700,16,6,111,3
465,BT 230 V,TRS,2300,3,5,2,2
466,BT 230 V,TRS,2300,1,11,289,20
467,BT 230 V,TRS,2300,1,22,223,2
469,BT 230 V,TRS,2300,6,1,29,6
470,BT 230 V,TRS,2200,3,27,97,8
474,BT 230 V,TCB,3700,14,1,6,1
475,BT 230 V,TCB,3700,16,6,118,72
476,BT 230 V,TRS,3700,3,5,8,2
477,BT 230 V,TRS,2300,16,6,114,66
478,BT 230 V,TRS,2200,1,13,132,7
481,BT 230 V,TRS,2200,18,2,103,21
482,BT 230 V,ADS,22000,1,10,61,9
483,BT 230 V,TRS,6600,1,10,61,7
486,BT 230 V,TRS,3700,16,7,104,17
487,BT 230 V,TRS,2200,13,9,103,3
488,BT 230 V,TRS,4600,12,1,5,17
489,BT 230 V,TRS,3700,1,12,10,3
490,BT 230 V,TRS,2200,3,4,56,204
491,BT 230 V,TRS,2300,1,10,56,5
493,BT 230 V,TRS,3700,10,3,30,609
495,BT 230 V,TCB,2200,1,11,91,813
496,BT 230 V,TCB,3700,18,1,20,7
497,BT 230 V,TCB,2300,1,12,204,10
498,BT 230 V,TRS,2200,3,27,3,3
500,BT 230 V,TRS,3700,3,5,1,803
502,BT 230 V,TRS,2200,1,9,117,33
503,BT 230 V,TRS,4600,5,1,16,3
505,BT 230 V,TRS,19000,1,10,66,1
506,BT 230 V,TRS,2200,3,16,107,11
509,BT 230 V,TRS,2200,3,5,8,1
510,BT 230 V,TRS,4400,6,11,2,800
511,BT 230 V,TRS,2300,3,17,200,38
512,BT 230 V,TRS,2200,1,17,204,5
513,BT 230 V,TRS,2200,1,17,218,6
514,BT 230 V,TGS,7400,1,18,112,1
515,BT 230 V,TRS,2200,16,6,115,20
516,BT 230 V,TRS,2200,10,1,77,17
517,BT 230 V,TRS,2200,3,27,211,54
518,BT 230 V,TRS,2200,3,12,9,2
519,BT 230 V,TRS,3700,3,4,20,600
520,BT 230 V,TGS,4400,3,16,114,8
521,BT 230 V,TRS,2300,3,12,2,7
522,BT 230 V,TRS,2300,1,10,229,8
523,BT 230 V,TRS,2200,1,18,208,2
524,BT 230 V,TRS,4600,1,21,128,14
527,BT 230 V,TRS,2300,10,3,30,615
529,BT 230 V,TCB,3700,12,4,205,28
530,BT 230 V,TRS,5500,14,9,5,2
532,BT 230 V,TRS,4600,5,1,4,8
533,BT 230 V,TCB,2300,3,6,5,13
534,BT 230 V,TRS,3700,3,5,11,4
536,BT 230 V,TRS,2200,3,37,185,14
537,BT 230 V,TCB,3700,16,6,211,802
540,BT 230 V,TRS,2200,1,21,108,801
541,BT 230 V,TRD,7400,15,1,4,12
542,BT 230 V,TRS,10000,1,10,61,5
543,BT 230 V,TRS,8800,10,1,34,19
544,BT 230 V,TCB,2300,5,1,110,10
547,BT 230 V,TRD,7400,3,1,4,24
549,BT 230 V,TRS,2300,1,9,33,2
550,BT 230 V,TRD,7400,7,1,14,14
551,BT 230 V,TRS,2200,5,1,14,700
554,BT 230 V,TRS,2200,10,2,206,26
556,BT 230 V,TRS,6000,10,1,340,807
557,BT 230 V,TRS,3700,3,10,206,600
561,BT 230 V,TRS,4400,3,37,329,63
562,BT 230 V,TRS,6600,1,10,59,6
563,BT 230 V,TGS,15000,4,8,9,5
566,BT 230 V,TGS,7400,1,10,249,22
567,BT 230 V,TRS,3300,18,1,115,5
568,BT 230 V,TRS,2300,1,9,157,1
569,BT 230 V,TRS,3700,1,99,47,602
570,BT 230 V,TGS,6600,1,12,112,14
571,BT 230 V,TRS,2200,1,9,33,603
572,BT 230 V,TRS,2200,18,6,2,801
576,BT 230 V,TRS,3700,3,5,8,6
577,BT 230 V,TRD,4600,8,10,6,11
579,BT 230 V,TRS,2200,16,7,2,801
580,BT 230 V,TRS,3700,3,37,192,62
582,BT 230 V,TCB,3700,1,14,24,6
583,BT 230 V,TCB,2200,16,6,211,41
584,BT 230 V,TRS,3300,3,14,209,605
586,BT 230 V,TRS,7400,3,11,6,13
588,BT 230 V,TCB,2300,18,9,404,2
589,BT 230 V,TRS,3700,18,1,226,605
590,BT 230 V,TRS,3700,1,11,79,15
591,BT 230 V,TRS,3300,3,5,3,1
595,BT 230 V,TRS,3700,14,4,211,606
597,BT 230 V,TRS,2200,1,17,31,21
598,BT 230 V,TRS,4600,1,10,43,9
599,BT 230 V,TRS,2900,1,12,112,14
600,BT 230 V,TRS,7400,19,1,22,1
601,BT 230 V,TRD,3700,17,3,304,8
602,BT 230 V,TCB,3700,1,12,135,10
605,BT 230 V,TRS,3300,1,24,218,804
608,BT 230 V,TRS,7600,11,10,3,6
610,BT 230 V,TRS,7400,5,1,113,602
612,BT 230 V,TRS,4600,18,1,9,11
614,BT 230 V,TRS,2300,3,4,138,38
616,BT 230 V,TRS,6600,3,16,214,25
617,BT 230 V,TGS,7600,18,1,11,8
618,BT 230 V,TRS,7400,15,11,4,1
619,BT 230 V,TCB,2300,2,1,9,8
620,BT 230 V,TRS,3300,1,10,45,8
622,BT 230 V,TCBT,2300,5,1,14,600
623,BT 230 V,TRS,5500,17,14,1,2
624,BT 230 V,TRS,3300,14,5,210,601
625,BT 230 V,TRS,3300,15,3,204,805
626,BT 230 V,TRS,7600,10,1,69,600
627,BT 230 V,TCB,3700,8,2,10,12
629,BT 230 V,TCB,3700,14,8,3,3
630,BT 230 V,TGS,4600,1,18,124,5
631,BT 230 V,TRS,3700,10,6,7,3
632,BT 230 V,TRS,2300,1,12,236,9
633,BT 230 V,TRS,2200,13,1,18,20
634,BT 230 V,TRS,3700,4,1,132,610
635,BT 230 V,TRS,3700,5,1,209,54
636,BT 230 V,TCB,3700,17,12,201,23
639,BT 230 V,TGS,22800,3,5,3,15
640,BT 230 V,TRS,2200,13,9,12,8
641,BT 230 V,TRS,3300,15,1,13,12
642,BT 230 V,TRS,2200,3,27,212,12
643,BT 230 V,TRS,2300,18,7,201,806
644,BT 230 V,TRS,2200,12,4,8,1
645,BT 230 V,TRS,4600,1,99,50,6
646,BT 230 V,TRS,2200,4,1,12,8
647,BT 230 V,TCB,3700,3,27,212,13
